time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-12T11:44:13.530Z,35.6266667,-117.584,6.85,1.15,ml,15,113,0.107,0.12,ci,ci39299336,2020-02-12T11:47:56.582Z,"8km E of Ridgecrest, CA",earthquake,0.23,0.71,0.191,16,automatic,ci,ci
2020-02-12T11:40:16.603Z,60.0871,-140.8978,8.4,1.8,ml,,,,0.47,ak,ak0201zawat8,2020-02-12T11:43:03.793Z,"85km E of Cape Yakataga, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-02-12T11:39:46.160Z,17.9593,-66.7526,13,3.11,md,10,203,0.1276,0.18,pr,pr2020043012,2020-02-12T12:39:27.319Z,"3km S of Magas Arriba, Puerto Rico",earthquake,0.97,0.43,0.34,6,reviewed,pr,pr
2020-02-12T11:31:29.590Z,19.2098331,-155.4156647,32.89,2.1,md,44,160,0.03244,0.13,hv,hv71380072,2020-02-12T11:58:08.040Z,"6km ENE of Pahala, Hawaii",earthquake,0.57,0.64,0.1,5,automatic,hv,hv
2020-02-12T11:30:55.180Z,35.9108333,-117.7416667,8.34,1.32,ml,19,52,0.07271,0.09,ci,ci39299312,2020-02-12T11:41:59.810Z,"15km E of Little Lake, CA",earthquake,0.16,0.48,0.229,19,automatic,ci,ci
2020-02-12T11:28:13.250Z,19.2106667,-155.412674,32.92,2.23,md,49,147,0.0303,0.11,hv,hv71380062,2020-02-12T11:41:50.040Z,"5km ENE of Pahala, Hawaii",earthquake,0.57,0.62,0.09,12,automatic,hv,hv
2020-02-12T11:16:07.100Z,19.2105007,-155.4666595,33.84,2.14,md,50,99,0.0485,0.12,hv,hv71380037,2020-02-12T11:29:47.040Z,"3km N of Pahala, Hawaii",earthquake,0.41,0.81,0.2,19,automatic,hv,hv
2020-02-12T11:09:49.530Z,33.9388333,-116.9758333,15.38,1.45,ml,64,32,0.01784,0.18,ci,ci39299304,2020-02-12T11:20:52.400Z,"1km N of Beaumont, CA",earthquake,0.18,0.46,0.126,25,automatic,ci,ci
2020-02-12T11:03:41.720Z,19.2168331,-155.4138336,33.07,2.32,ml,51,142,0.02571,0.12,hv,hv71380022,2020-02-12T11:23:20.040Z,"6km NE of Pahala, Hawaii",earthquake,0.52,0.64,0.14,3,automatic,hv,hv
2020-02-12T10:53:45.952Z,37.0424,49.6201,10,4.3,mb,,60,3.634,0.9,us,us70007nqw,2020-02-12T12:04:23.562Z,"26km S of Rasht, Iran",earthquake,7.6,2,0.142,14,reviewed,us,us
2020-02-12T10:50:27.530Z,18.0151,-66.7536,16,2.58,md,11,172,0.1318,0.11,pr,pr2020043011,2020-02-12T11:43:29.765Z,"1km E of Magas Arriba, Puerto Rico",earthquake,0.76,0.55,0.17,6,reviewed,pr,pr
2020-02-12T10:42:42.739Z,36.07594681,-98.64417267,5.258403301,1.59,ml,15,95.50868225,0.1714824885,0.2785694284,ok,ok2020czoi,2020-02-12T10:44:58.522Z,"26km SW of Fairview, Oklahoma",earthquake,3.53315899,3.545089795,,13,automatic,ok,ok
2020-02-12T10:39:51.651Z,59.7544,-153.0585,89.6,2,ml,,,,0.72,ak,ak0201zaaq6r,2020-02-12T10:47:43.773Z,"69km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-02-12T10:37:19.111Z,37.2946,141.304,80.7,5.2,mww,,67,2.594,0.84,us,us70007nqa,2020-02-12T13:08:29.268Z,"34km SE of Namie, Japan",earthquake,7.8,5.8,0.075,17,reviewed,us,us
2020-02-12T10:34:11.080Z,35.7325,-117.5565,10.7,1.05,ml,13,152,0.08951,0.17,ci,ci39299296,2020-02-12T10:37:41.241Z,"14km WSW of Searles Valley, CA",earthquake,0.45,1.01,0.187,11,automatic,ci,ci
2020-02-12T10:26:21.610Z,19.2126675,-155.4083405,32.14,1.94,md,38,154,0.02674,0.13,hv,hv71379992,2020-02-12T10:29:26.980Z,"7km E of Pahala, Hawaii",earthquake,0.69,0.73,0.11,6,automatic,hv,hv
2020-02-12T10:22:04.377Z,66.313,-157.4291,7.9,2.3,ml,,,,0.68,ak,ak0201za6zdh,2020-02-12T10:30:39.526Z,"70km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-02-12T10:16:40.480Z,19.2103329,-155.4616699,33.8,2.08,ml,57,105,0.05172,0.13,hv,hv71379977,2020-02-12T10:22:15.850Z,"2km ENE of Pahala, Hawaii",earthquake,0.49,0.66,3.96,5,automatic,hv,hv
2020-02-12T10:12:30.390Z,19.4169998,-155.3326721,4.25,1.87,md,38,63,0.02662,0.14,hv,hv71379972,2020-02-12T10:15:52.690Z,"10km W of Volcano, Hawaii",earthquake,0.33,0.77,0.26,21,automatic,hv,hv
2020-02-12T10:08:16.440Z,17.9815,-66.8001,14,3.22,md,11,188,0.0794,0.17,pr,pr2020043010,2020-02-12T11:56:33.302Z,"2km NW of Guayanilla, Puerto Rico",earthquake,0.92,0.92,0.27,4,reviewed,pr,pr
2020-02-12T10:04:28.234Z,-1.8438,122.5633,63.72,4.3,mb,,107,0.823,0.61,us,us70007nq4,2020-02-12T10:34:34.040Z,"101km SSW of Luwuk, Indonesia",earthquake,7.7,9.1,0.16,11,reviewed,us,us
2020-02-12T09:39:34.680Z,19.2091675,-155.4494934,35.47,2.19,md,48,118,0.05479,0.1,hv,hv71379937,2020-02-12T12:23:26.040Z,"3km NNE of Pahala, Hawaii",earthquake,0.44,0.76,0.13,4,automatic,hv,hv
2020-02-12T09:36:46.440Z,35.7113333,-117.5285,7.1,1.8,ml,21,157,0.1183,0.16,ci,ci39299280,2020-02-12T09:40:43.766Z,"13km WSW of Searles Valley, CA",earthquake,0.32,0.74,0.188,26,automatic,ci,ci
2020-02-12T09:31:16.670Z,38.7878342,-122.7471695,2.2,1.74,md,23,95,0.009365,0.07,nc,nc73340065,2020-02-12T11:05:03.948Z,"1km NE of The Geysers, CA",earthquake,0.28,0.48,0.1,7,automatic,nc,nc
2020-02-12T09:25:34.950Z,19.2056675,-155.401001,31.08,2.03,md,22,170,0.07639,0.11,hv,hv71379932,2020-02-12T09:28:42.090Z,"8km E of Pahala, Hawaii",earthquake,0.82,1.22,0.17,3,automatic,hv,hv
2020-02-12T09:24:42.017Z,59.7905,-152.7513,83.9,1.7,ml,,,,0.36,ak,ak0201z9m2l2,2020-02-12T10:00:54.052Z,"51km W of Anchor Point, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-02-12T09:22:56.830Z,17.9131,-66.9223,12,2.3,ml,11,224,0.0755,0.08,pr,pr2020043009,2020-02-12T09:57:18.902Z,"6km SSW of Guanica, Puerto Rico",earthquake,0.77,0.4,0,0,reviewed,pr,pr
2020-02-12T09:13:24.448Z,12.1762,-87.6524,35,4.3,mb,,188,0.805,0.4,us,us70007nph,2020-02-12T10:12:29.040Z,"62km WSW of Corinto, Nicaragua",earthquake,7.2,2,0.092,33,reviewed,us,us
2020-02-12T08:59:25.286Z,-24.1641,-176.1798,92.01,5.2,mb,,90,5.296,1.32,us,us70007npb,2020-02-12T09:15:18.040Z,"South of the Fiji Islands",earthquake,10.7,7.6,0.122,22,reviewed,us,us
2020-02-12T08:55:12.410Z,35.8345,-117.6635,6.65,1.51,ml,22,83,0.0568,0.17,ci,ci39299264,2020-02-12T09:06:19.700Z,"24km N of Ridgecrest, CA",earthquake,0.31,0.68,0.253,24,automatic,ci,ci
2020-02-12T08:50:30.102Z,34.96857834,-97.68074036,1.046218038,2.29,ml,54,45.61805725,0.08571251482,0.8429736584,ok,ok2020czkq,2020-02-12T08:55:09.357Z,"16km NNW of Lindsay, Oklahoma",earthquake,1.714684257,1.342811764,,40,automatic,ok,ok
2020-02-12T08:47:26.650Z,36.0871667,-117.8421667,0.94,1.16,ml,13,135,0.03204,0.09,ci,ci39299256,2020-02-12T08:51:01.504Z,"11km ENE of Coso Junction, CA",earthquake,0.22,0.26,0.215,15,automatic,ci,ci
2020-02-12T08:40:06.926Z,63.0273,-151.5075,4,2.4,ml,,,,0.67,ak,ak0201z93z69,2020-02-12T08:52:39.516Z,"106km NW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-02-12T08:37:41.630Z,36.0858333,-117.84,1.04,1.31,ml,16,113,0.03389,0.1,ci,ci39299240,2020-02-12T08:41:24.403Z,"11km ENE of Coso Junction, CA",earthquake,0.19,0.24,0.23,20,automatic,ci,ci
2020-02-12T08:37:27.292Z,63.5971,-147.5297,78.5,1.4,ml,,,,0.49,ak,ak0201z93dnc,2020-02-12T08:42:45.328Z,"74km ENE of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-02-12T08:28:11.316Z,60.397,-153.2304,10.9,1.5,ml,,,,0.48,ak,ak0201z91ezv,2020-02-12T09:30:17.442Z,"28km WSW of Redoubt Volcano, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-02-12T08:26:14.497Z,63.5135,-147.2396,27.4,1.6,ml,,,,0.68,ak,ak0201z90zt5,2020-02-12T08:29:11.855Z,"86km E of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-02-12T08:21:53.833Z,61.9351,-148.8933,15.9,1.3,ml,,,,0.63,ak,ak0201z9009h,2020-02-12T08:29:11.387Z,"15km N of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-02-12T08:17:18.300Z,19.124,-67.5338,28,3.26,md,11,203,0.7416,0.47,pr,pr2020043008,2020-02-12T09:45:36.675Z,"83km NNW of San Antonio, Puerto Rico",earthquake,2.89,29.47,0.08,4,reviewed,pr,pr
2020-02-12T08:10:40.890Z,36.0668333,-117.8495,1.61,1.35,ml,15,124,0.05083,0.12,ci,ci39299232,2020-02-12T08:14:28.756Z,"9km ENE of Coso Junction, CA",earthquake,0.22,0.25,0.267,19,automatic,ci,ci
2020-02-12T08:01:49.540Z,18.8121,-67.5983,22,4.3,ml,11,194,0.4439,0.42,pr,pr2020043007,2020-02-12T12:56:05.251Z,"63km NW of Aguadilla, Puerto Rico",earthquake,3.62,29.76,0.39,4,reviewed,pr,pr
2020-02-12T07:44:22.260Z,36.0683333,-117.8498333,1.94,1.15,ml,15,124,0.04931,0.08,ci,ci39299216,2020-02-12T07:47:56.080Z,"9km ENE of Coso Junction, CA",earthquake,0.16,0.16,0.296,17,automatic,ci,ci
2020-02-12T07:41:13.535Z,18.6229,-101.5464,88.05,4.2,mb,,167,1.062,1.14,us,us70007nnd,2020-02-12T07:54:33.040Z,"9km E of Nuevo Churumuco, Mexico",earthquake,9,9.5,0.04,176,reviewed,us,us
2020-02-12T07:23:21.050Z,36.4726677,-121.046669,1.08,1.86,md,12,107,0.0196,0.18,nc,nc73340035,2020-02-12T09:19:03.294Z,"11km SE of Pinnacles, CA",earthquake,0.6,0.74,0.13,9,automatic,nc,nc
2020-02-12T07:17:35.720Z,19.1765003,-155.4615021,33.64,2.83,md,25,209,0.07979,0.13,hv,hv71379837,2020-02-12T07:20:49.790Z,"3km SSE of Pahala, Hawaii",earthquake,1.44,0.87,0.17,3,automatic,hv,hv
2020-02-12T07:16:01.410Z,33.4878333,-116.788,6,1.5,ml,62,32,0.02656,0.2,ci,ci39299192,2020-02-12T07:26:53.360Z,"9km NE of Aguanga, CA",earthquake,0.19,0.59,0.132,27,automatic,ci,ci
2020-02-12T07:15:00.170Z,36.0666667,-117.8518333,2.2,1.76,ml,24,93,0.05087,0.13,ci,ci39299184,2020-02-12T07:25:50.200Z,"9km ENE of Coso Junction, CA",earthquake,0.22,0.28,0.278,26,automatic,ci,ci
2020-02-12T07:09:35.480Z,36.6308327,-121.1828308,10.55,1.82,md,18,123,0.05905,0.17,nc,nc73340025,2020-02-12T08:36:03.028Z,"12km NNW of Pinnacles, CA",earthquake,0.59,1.11,0.2,13,automatic,nc,nc
2020-02-12T06:54:26.257Z,60.7067,-152.1153,90.9,1.1,ml,,,,0.21,ak,ak0201z805k1,2020-02-12T08:39:23.959Z,"42km NE of Redoubt Volcano, Alaska",earthquake,,1.4,,,automatic,ak,ak
2020-02-12T06:49:18.620Z,19.1911659,-155.4711609,32.77,1.79,md,38,148,0.03658,0.13,hv,hv71379797,2020-02-12T06:52:28.750Z,"1km SSE of Pahala, Hawaii",earthquake,0.62,0.96,0.37,3,automatic,hv,hv
2020-02-12T06:47:32.311Z,36.37511063,-98.126297,1.798274755,1.64,ml,18,84.51231766,0.1732708812,0.8571333169,ok,ok2020czgo,2020-02-12T06:50:39.885Z,"22km W of Enid, Oklahoma",earthquake,2.725207113,2.28216273,,13,automatic,ok,ok
2020-02-12T06:41:11.025Z,61.1533,-150.0755,93.9,1.3,ml,,,,0.77,ak,ak0201z7xc2q,2020-02-12T06:48:53.324Z,"11km SW of Anchorage, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-02-12T06:40:01.720Z,35.716,-117.4978333,9.59,1.14,ml,14,103,0.1284,0.25,ci,ci39299160,2020-02-12T06:43:39.492Z,"10km SW of Searles Valley, CA",earthquake,0.55,2.19,0.094,12,automatic,ci,ci
2020-02-12T06:35:05.314Z,62.9306,-148.1032,42.7,3.2,ml,,,,0.65,ak,ak0201z7w1ab,2020-02-12T06:47:25.040Z,"67km SE of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-02-12T06:29:07.800Z,19.2154999,-155.43367,30.88,1.92,md,25,129,0.04059,0.14,hv,hv71379777,2020-02-12T06:32:22.560Z,"5km ENE of Pahala, Hawaii",earthquake,0.68,1.07,0.08,4,automatic,hv,hv
2020-02-12T06:23:49.520Z,17.9778,-66.8736,15,2.6,md,11,166,0.0062,0.09,pr,pr2020043006,2020-02-12T07:03:12.544Z,"1km E of Maria Antonia, Puerto Rico",earthquake,0.7,0.46,0.3,5,reviewed,pr,pr
2020-02-12T06:05:48.590Z,35.8601667,-117.6885,2.67,1.18,ml,19,101,0.08065,0.19,ci,ci39299144,2020-02-12T06:16:29.380Z,"21km ESE of Little Lake, CA",earthquake,0.29,0.47,0.155,19,automatic,ci,ci
2020-02-12T06:02:40.470Z,19.1814995,-155.4589996,33.46,1.83,md,37,160,0.07651,0.11,hv,hv71379742,2020-02-12T06:05:58.510Z,"3km SE of Pahala, Hawaii",earthquake,0.76,0.97,0.25,5,automatic,hv,hv
2020-02-12T05:55:09.989Z,0.7902,98.9466,81.22,4.5,mb,,98,1.462,0.85,us,us70007nmd,2020-02-12T06:20:16.040Z,"73km SSW of Padangsidempuan, Indonesia",earthquake,7.3,7.8,0.127,18,reviewed,us,us
2020-02-12T05:45:33.530Z,34.224,-117.5111667,9.29,1.13,ml,28,44,0.08585,0.17,ci,ci39299128,2020-02-12T05:49:19.754Z,"4km SSW of Lytle Creek, CA",earthquake,0.27,0.49,0.228,32,automatic,ci,ci
2020-02-12T05:44:57.330Z,32.8115,-116.1371667,8.39,1.23,ml,22,74,0.03897,0.21,ci,ci39299120,2020-02-12T05:48:42.361Z,"16km WNW of Ocotillo, CA",earthquake,0.43,0.84,0.173,19,automatic,ci,ci
2020-02-12T05:18:06.199Z,62.9963,-151.5298,7.5,1.4,ml,,,,0.7,ak,ak0201z76ymj,2020-02-12T05:21:24.765Z,"104km NW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-02-12T04:56:39.680Z,35.5061667,-118.3321667,3.69,0.95,ml,12,87,0.1594,0.15,ci,ci39299104,2020-02-12T05:00:16.810Z,"17km ESE of Bodfish, CA",earthquake,0.29,1.04,0.056,10,automatic,ci,ci
2020-02-12T04:54:51.410Z,17.9878,-66.8673,14,2.2,md,12,143,0.0174,0.14,pr,pr2020043005,2020-02-12T06:20:19.710Z,"2km SSE of Palomas, Puerto Rico",earthquake,0.62,0.67,0,1,reviewed,pr,pr
2020-02-12T04:49:42.590Z,17.9783,-66.8743,11,3.9,md,13,156,0.0059,0.33,pr,pr2020043004,2020-02-12T12:31:55.123Z,"1km NE of Yauco, Puerto Rico",earthquake,1.52,0.76,0.01,5,reviewed,pr,pr
2020-02-12T04:48:40.750Z,18.0213,-66.8626,9,3.7,ml,15,115,0.0491,0.15,pr,pr2020043003,2020-02-12T12:53:09.377Z,"0km S of Palomas, Puerto Rico",earthquake,0.63,0.71,0.19,7,reviewed,pr,pr
2020-02-12T04:42:59.810Z,19.3751659,-154.9478302,0.8,2.11,md,20,265,0.07897,0.31,hv,hv71379677,2020-02-12T04:46:21.110Z,"10km SSW of Leilani Estates, Hawaii",earthquake,3.22,1.54,0.31,4,automatic,hv,hv
2020-02-12T04:41:52.760Z,36.7044983,-121.3778305,3.38,1.95,md,10,132,0.08147,0.19,nc,nc73339990,2020-02-12T07:14:02.535Z,"11km SSW of Tres Pinos, CA",earthquake,0.86,15.06,0.2,9,automatic,nc,nc
2020-02-12T04:33:30.000Z,17.843,-66.8433,5,3.03,md,12,236,0.1369,0.16,pr,pr2020043002,2020-02-12T05:31:56.948Z,"15km SSE of Guanica, Puerto Rico",earthquake,0.8,0.52,0.31,6,reviewed,pr,pr
2020-02-12T04:16:53.480Z,35.7796667,-117.6268333,10.59,1.05,ml,17,106,0.04317,0.14,ci,ci39299088,2020-02-12T04:20:37.838Z,"18km NNE of Ridgecrest, CA",earthquake,0.35,0.51,0.133,13,automatic,ci,ci
2020-02-12T04:04:25.431Z,63.0403,-151.3452,0,2,ml,,,,0.68,ak,ak0201z6ik7j,2020-02-12T04:11:32.661Z,"101km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-02-12T04:03:02.510Z,35.779,-117.616,10.88,1.7,ml,21,118,0.03962,0.14,ci,ci39299072,2020-02-12T04:06:58.752Z,"18km NNE of Ridgecrest, CA",earthquake,0.26,0.45,0.177,26,automatic,ci,ci
2020-02-12T03:58:30.550Z,38.7993317,-122.8078308,2.18,1.38,md,8,91,0.0116,0.04,nc,nc73339980,2020-02-12T06:45:05.384Z,"5km WNW of The Geysers, CA",earthquake,0.5,0.63,0.88,2,automatic,nc,nc
2020-02-12T03:25:32.590Z,19.2024994,-155.4516602,35.75,2.4,md,51,118,0.04787,0.11,hv,hv71379642,2020-02-12T03:28:43.740Z,"2km E of Pahala, Hawaii",earthquake,0.48,0.65,0.2,28,automatic,hv,hv
2020-02-12T02:58:46.876Z,62.9037,-149.592,66.3,1.3,ml,,,,0.54,ak,ak0201z5nblb,2020-02-12T03:01:49.676Z,"63km SSW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-02-12T02:48:34.050Z,17.9696,-67.0445,10,2.77,ml,10,213,0.0748,0.08,pr,pr2020043001,2020-02-12T05:17:53.110Z,"0km SSE of La Parguera, Puerto Rico",earthquake,0.6,0.77,0,0,reviewed,pr,pr
2020-02-12T02:38:30.360Z,35.5833333,-117.4025,6.11,1.2,ml,17,152,0.04876,0.18,ci,ci39299032,2020-02-12T02:42:01.931Z,"20km S of Trona, CA",earthquake,0.48,0.59,0.171,17,automatic,ci,ci
2020-02-12T02:13:49.280Z,38.7478333,-122.716835,1.5,1.29,md,12,167,0.0222,0.06,nc,nc73339960,2020-02-12T02:36:04.591Z,"4km SW of Anderson Springs, CA",earthquake,0.35,0.42,0.14,6,automatic,nc,nc
2020-02-12T02:04:00.460Z,19.2183342,-155.4241638,33.08,1.86,md,41,134,0.0316,0.13,hv,hv71379582,2020-02-12T02:07:08.290Z,"6km ENE of Pahala, Hawaii",earthquake,0.58,0.8,0.13,9,automatic,hv,hv
2020-02-12T01:19:45.010Z,18.8945,-155.1805,10.59,2.37,ml,40,258,0.3719,0.13,hv,hv71379532,2020-02-12T03:47:25.040Z,"48km SE of Pahala, Hawaii",earthquake,0.73,0.46,0.092,16,reviewed,hv,hv
2020-02-12T01:18:13.790Z,36.7173333,-119.358,22.39,2.16,md,12,167,0.1676,0.14,nc,nc73339925,2020-02-12T06:03:06.087Z,"10km WSW of Squaw Valley, CA",earthquake,0.94,1.51,0.1,20,reviewed,nc,nc
2020-02-12T01:17:58.870Z,35.7336667,-117.5376667,6.43,1.11,ml,17,158,0.09526,0.18,ci,ci39298976,2020-02-12T01:21:43.703Z,"13km WSW of Searles Valley, CA",earthquake,0.48,1.31,0.154,14,automatic,ci,ci
2020-02-12T01:06:29.970Z,33.1881667,-116.3303333,10.92,2.91,ml,84,20,0.06418,0.2,ci,ci39298968,2020-02-12T01:49:35.889Z,"9km SSE of Borrego Springs, CA",earthquake,0.19,0.47,0.151,25,reviewed,ci,ci
2020-02-12T00:50:38.270Z,33.1411667,-115.626,3.32,1.33,ml,10,84,0.03723,0.16,ci,ci39298952,2020-02-12T00:54:25.527Z,"11km W of Calipatria, CA",earthquake,0.4,0.42,0.163,22,automatic,ci,ci
2020-02-12T00:50:09.428Z,36.4924,68.6096,10,4.4,mb,,118,4.757,1.2,us,us70007nje,2020-02-12T01:07:06.040Z,"34km SW of Kunduz, Afghanistan",earthquake,8.8,1.9,0.161,11,reviewed,us,us
2020-02-12T00:49:29.670Z,19.1548328,-155.4456635,36.17,1.89,md,41,206,0.01556,0.11,hv,hv71379507,2020-02-12T00:52:51.060Z,"6km SSE of Pahala, Hawaii",earthquake,0.72,0.88,0.23,5,automatic,hv,hv
2020-02-12T00:43:19.540Z,52.6402,171.859,10,4.9,mb,,146,1.369,0.67,us,us70007njd,2020-02-12T01:02:31.040Z,"92km WSW of Attu Station, Alaska",earthquake,10.7,1.9,0.029,373,reviewed,us,us
2020-02-12T00:25:02.900Z,17.9451,-66.8335,17,2.53,md,12,209,0.0547,0.22,pr,pr2020043000,2020-02-12T01:31:39.739Z,"5km SSW of Indios, Puerto Rico",earthquake,1.25,0.69,0.37,9,reviewed,pr,pr
2020-02-12T00:21:40.030Z,33.504,-116.4978333,12.71,1.07,ml,34,59,0.06012,0.22,ci,ci39298912,2020-02-12T01:51:03.200Z,"17km ESE of Anza, CA",earthquake,0.29,0.51,0.13,28,reviewed,ci,ci
2020-02-12T00:08:07.580Z,37.6636658,-118.8679962,3.74,1.4,md,17,141,0.0299,0.04,nc,nc73339900,2020-02-12T00:23:03.045Z,"10km ENE of Mammoth Lakes, CA",earthquake,0.44,0.7,0.16,16,automatic,nc,nc
2020-02-11T23:59:09.950Z,36.0741667,-117.8568333,1.45,0.95,ml,12,159,0.04335,0.18,ci,ci39298872,2020-02-12T00:02:41.554Z,"9km ENE of Coso Junction, CA",earthquake,0.47,0.34,0.223,12,automatic,ci,ci
2020-02-11T23:51:33.010Z,64.8412,-147.2941,17,1.5,ml,,,,0.58,ak,ak0201xukjn1,2020-02-12T00:53:17.333Z,"10km NNE of North Pole, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-02-11T23:32:48.360Z,33.1463333,-115.6238333,4.01,1.31,ml,16,82,0.0318,0.13,ci,ci39298808,2020-02-12T00:01:04.973Z,"10km WNW of Calipatria, CA",earthquake,0.22,0.21,0.203,10,reviewed,ci,ci
2020-02-11T23:27:25.310Z,64.856,-147.3015,13.5,1,ml,,,,0.43,ak,ak0201xufdxv,2020-02-11T23:30:32.206Z,"11km N of North Pole, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-02-11T23:26:17.500Z,36.7176666,-121.3600006,1.23,2.15,md,26,103,0.08206,0.12,nc,nc73339875,2020-02-12T02:32:03.564Z,"9km SSW of Tres Pinos, CA",earthquake,0.34,2.47,0.2,25,automatic,nc,nc
2020-02-11T23:22:32.510Z,20.1038333,-155.4131667,12.67,1.92,md,41,223,0.2769,0.14,hv,hv71379422,2020-02-12T03:21:07.490Z,"6km ENE of Honoka'a, Hawaii",earthquake,0.91,1.29,0.074,20,reviewed,hv,hv
2020-02-11T23:19:43.010Z,36.7178333,-121.3625,2.34,1.22,md,21,103,0.0822,0.09,nc,nc73339865,2020-02-12T01:44:03.530Z,"9km SSW of Tres Pinos, CA",earthquake,0.35,1.71,0.425,15,reviewed,nc,nc
2020-02-11T23:03:42.660Z,40.1535,-123.8305,23.81,2.06,md,21,68,0.05709,0.15,nc,nc73339850,2020-02-12T03:09:04.045Z,"4km N of Redway, CA",earthquake,0.49,0.36,0.158,16,reviewed,nc,nc
2020-02-11T22:54:32.270Z,17.9495,-66.948,11,2.85,ml,8,217,0.0734,0.15,pr,pr2020042021,2020-02-12T00:42:59.701Z,"4km WSW of Guanica, Puerto Rico",earthquake,0.93,0.48,0,0,reviewed,pr,pr
2020-02-11T22:47:01.565Z,62.2599,-151.3507,90.5,1.6,ml,,,,0.56,ak,ak0201xty6to,2020-02-11T22:59:46.752Z,"64km W of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-02-11T22:29:59.155Z,-20.9434,-70.7734,10,4,mwr,,187,0.9,0.83,us,us70007ngw,2020-02-12T01:05:17.005Z,"103km SW of Iquique, Chile",earthquake,4,1.7,0.048,41,reviewed,us,us
2020-02-11T22:22:38.897Z,60.4591,-142.9385,7.8,1.5,ml,,,,1,ak,ak0201xtswsx,2020-02-11T22:25:32.610Z,"52km NNW of Cape Yakataga, Alaska",earthquake,,0.5,,,automatic,ak,ak
